T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17
1,15,5,13,4,3,9,12,26,18,163,401,6,2,489,802,1203
176,2640,880,2288,704,528,1584,2112,4576,3168,28688,5213,1056,352,20701,10426,15639
30976,7099,24154,10510,58541,27565,17332,44897,21020,34664,16137,2406,55130,61952,48411,4812,7218
26647,7527,2509,19596,41225,14578,43734,58312,39192,22105,29503,31278,29156,53294,23146,62556,28471
49099,17492,49406,50020,307,16571,49713,921,34677,34063,28851,14436,33142,32835,21190,28872,43308
13508,6531,2177,44878,54032,40524,56209,31370,24393,47055,44825,56942,15685,27016,3749,48521,40100
24340,38285,56337,54968,31997,7657,22971,30628,44573,45942,45640,21253,15314,48680,6194,42506,63759
35245,5771,45499,644,10254,40372,55753,30762,1288,46143,58354,14837,15381,5127,44336,29674,44511
58998,35251,33538,47981,39903,46268,8078,54346,30599,16156,8313,62155,27173,52633,24939,58947,55739
56294,60054,20018,12829,29087,38156,49105,21898,25658,32847,25102,23659,10949,47225,9943,47318,5614
37931,46061,58929,35562,20998,48430,14564,62994,5761,29128,38631,46115,31497,10499,50530,26867,7619
8830,1724,44150,49427,35320,26490,14107,40597,33491,28214,1304,11228,52980,17660,3912,22456,33684
50731,41972,57566,5873,6835,21467,64401,20505,11746,63439,33415,15238,42934,36099,34882,30476,45714
39288,1053,351,53203,26426,52501,26777,13915,41043,53554,63733,2005,39639,13213,60473,4010,6015
51573,54602,61776,16819,10203,23993,6616,30609,33638,13232,39935,26065,47986,37783,54442,52130,12832
56754,1591,22318,18809,30927,39536,53245,27418,37618,41127,34719,12030,13709,48145,38794,24060,36090
53528,18564,6188,42234,18023,29858,24211,54069,19105,48422,31785,25664,59716,41693,29992,51328,11629
8656,64477,43280,47165,34624,25968,12541,38509,28967,25082,38305,6817,51936,17312,49552,13634,20451
20107,40153,35172,65302,15065,60321,50237,45195,65241,35111,9291,23258,55279,40214,27873,46516,4411
